w_out,LCOH,LCOH_i
1339.740905,0.025031837,0.535720296
237.717378,0.149015744,3.189168955
680.8653103,0.114103509,2.441992774
1187.922361,0.032778545,0.701511911
3123.564505,0.015051641,0.322128549
3012.781715,0.016711699,0.357656386
3086.926116,0.021565299,0.46153099
5923.304836,0.013670237,0.29256435
1828.345794,0.028121978,0.601854109
4078.875435,0.017150872,0.36705537
614.7322996,0.124031972,2.654477347
1379.634518,0.034410798,0.736444669
4131.518767,0.010667407,0.228299111
3398.829658,0.013121941,0.280829979
3621.25476,0.026788729,0.573320512
3468.268929,0.016996139,0.363743832
590.2128007,0.07973166,1.706381678
4426.452477,0.016672277,0.356812691
4254.414147,0.009800784,0.209752047
557.994188,0.047317898,1.012676694
595.7626299,0.103237425,2.209441641
86.99677102,0.189409068,4.053648987
393.6831639,0.073567721,1.574463788
294.6304111,0.13741425,2.940878925
2146.611205,0.026468003,0.566456483
2329.633533,0.017192547,0.367947267
2134.229436,0.02138717,0.45771874
1694.842852,0.023512733,0.503209091
576.4513492,0.033480801,0.716541285
1014.312886,0.020410973,0.436826605
4156.703806,0.015606251,0.333998074
1494.078804,0.049596762,1.061447937
401.0551898,0.155481376,3.327543561
460.7646357,0.053947384,1.154558016
1830.594453,0.021468984,0.45946968
1224.062929,0.062697896,1.341832608
1726.621975,0.02020513,0.432421247
697.2469643,0.047588759,1.018473544
2067.829085,0.02452131,0.524794215
595.2731323,0.078519591,1.680441516
982.2382261,0.02143858,0.458818994
1600.118678,0.015697337,0.335947457
1776.340776,0.016532891,0.353829619
1857.977395,0.01690094,0.361706436
177.4958678,0.128794211,2.756396659
763.4735793,0.040142989,0.859122465
2630.038125,0.028572694,0.611500134
5062.823337,0.015698445,0.335971167
1238.030282,0.072657025,1.554973476
3882.301852,0.015129008,0.323784322
2797.669715,0.01511704,0.323528194
1158.724637,0.040581617,0.868509803
2121.974671,0.028412103,0.608063245
4000.73526,0.015409237,0.329781664
1177.652385,0.034880895,0.746505474
283.4086405,0.222779222,4.767822247
6268.665663,0.013843889,0.296280788
690.3300188,0.030346847,0.649469772
1254.027249,0.053242528,1.139473
4283.610629,0.007606362,0.162787995
344.6671196,0.079200645,1.695017128
997.1511951,0.020754613,0.444181026
